epoch,generator,discriminator
1,3.2765,0.8145
2,1.7387,0.8332
3,1.3635,0.8830
4,1.4239,1.0240
5,1.3530,0.9250
6,1.4340,0.9553
7,1.1818,0.9379
8,1.1734,0.9534
9,1.0091,0.9417
10,1.0759,0.9630
11,0.9818,0.9579
12,1.1068,1.0577
13,1.0669,0.9440
14,1.0159,0.9390
15,1.0757,0.9070
16,1.0949,0.9230
17,1.0484,0.9284
18,0.9754,0.9352
19,1.0700,0.9844
20,1.0917,0.9565
21,1.0917,0.9613
22,1.0542,0.9854
23,1.0027,0.9018
24,1.0756,0.8537
25,0.9817,0.8890
26,1.0287,0.8647
27,1.1304,0.9050
28,0.9634,0.9326
29,1.1006,0.8466
30,1.0596,0.8364
